"OSM_ID";"time";"Speed";"GPS.Bearing"
23640335;2015-02-24 06:43:41;48;229
23640335;2015-02-24 06:43:46;50;229
23640335;2015-02-24 06:43:52;50;230
25745720;2015-02-24 06:43:58;47;228
25745722;2015-02-24 06:44:03;44;231
25745288;2015-02-24 06:44:09;27;206
27519090;2015-02-24 06:44:14;13;202
38284408;2015-02-24 06:44:19;29;210
160683839;2015-02-24 06:44:24;35;213
43077595;2015-02-24 06:44:30;31;220
160683839;2015-02-24 06:44:35;26;216
38284409;2015-02-24 06:44:40;30;217
38284409;2015-02-24 06:44:46;25;193
42488356;2015-02-24 06:44:52;26;190
42488356;2015-02-24 06:44:58;22;191
38284410;2015-02-24 06:45:04;7;188
38284410;2015-02-24 06:45:09;9;188
38284410;2015-02-24 06:45:15;5;180
38284410;2015-02-24 06:45:21;9;183
38284410;2015-02-24 06:45:27;10;187
23640334;2015-02-24 06:45:32;29;198
23640336;2015-02-24 06:45:38;42;204
23640336;2015-02-24 06:45:43;46;208
23640336;2015-02-24 06:45:48;48;213
23640336;2015-02-24 06:45:54;50;222
23640336;2015-02-24 06:46:00;51;212
23640336;2015-02-24 06:46:05;51;199
23640336;2015-02-24 06:46:10;56;205
23640336;2015-02-24 06:46:15;57;230
27467152;2015-02-24 06:46:21;54;219
23640337;2015-02-24 06:46:27;18;228
23640338;2015-02-24 06:46:33;40;205
306014947;2015-02-24 06:46:38;62;200
306014947;2015-02-24 06:46:43;80;200
306014947;2015-02-24 06:46:49;87;213
306014947;2015-02-24 06:46:55;93;217
306014947;2015-02-24 06:47:01;98;209
306014947;2015-02-24 06:47:07;100;206
306014947;2015-02-24 06:47:13;102;205
306014947;2015-02-24 06:47:19;102;206
306014947;2015-02-24 06:47:25;99;202
306014947;2015-02-24 06:47:30;102;187
306014947;2015-02-24 06:47:36;107;179
306014947;2015-02-24 06:47:42;108;182
306014947;2015-02-24 06:47:47;105;198
306014947;2015-02-24 06:47:52;106;202
306014947;2015-02-24 06:47:58;105;202
42488507;2015-02-24 06:48:04;105;202
42488507;2015-02-24 06:48:10;106;202
42488507;2015-02-24 06:48:15;105;200
42488507;2015-02-24 06:48:20;106;188
42488507;2015-02-24 06:48:25;108;183
42488507;2015-02-24 06:48:31;108;184
42488507;2015-02-24 06:48:36;110;184
42488507;2015-02-24 06:48:41;110;183
42488507;2015-02-24 06:48:47;105;184
42488507;2015-02-24 06:48:52;96;187
42488508;2015-02-24 06:48:58;85;191
42488508;2015-02-24 06:49:03;95;192
42488508;2015-02-24 06:49:08;105;196
42096810;2015-02-24 06:49:14;104;195
42096810;2015-02-24 06:49:20;100;196
42096810;2015-02-24 06:49:25;94;209
42096810;2015-02-24 06:49:31;90;229
42096810;2015-02-24 06:49:37;87;241
306014098;2015-02-24 06:49:42;67;231
306014098;2015-02-24 06:49:48;46;219
306014098;2015-02-24 06:49:54;8;233
306014098;2015-02-24 06:50:37;15;228
174461306;2015-02-24 06:50:43;41;298
174461306;2015-02-24 06:50:48;57;298
170733450;2015-02-24 06:50:54;67;299
170733450;2015-02-24 06:50:59;82;300
170733450;2015-02-24 06:51:04;90;299
170733450;2015-02-24 06:51:10;97;298
170733450;2015-02-24 06:51:15;100;297
170733450;2015-02-24 06:51:21;100;296
170733450;2015-02-24 06:51:26;97;295
170733450;2015-02-24 06:51:31;101;294
170733450;2015-02-24 06:51:36;103;293
170733450;2015-02-24 06:51:42;89;291
170733450;2015-02-24 06:51:47;82;291
90029217;2015-02-24 06:51:52;86;288
146458917;2015-02-24 06:51:58;81;284
146458917;2015-02-24 06:52:03;73;281
146458917;2015-02-24 06:52:09;65;280
146458917;2015-02-24 06:52:14;52;278
146458917;2015-02-24 06:52:19;47;278
146458917;2015-02-24 06:52:24;45;277
146458917;2015-02-24 06:52:29;42;278
146458917;2015-02-24 06:52:34;37;273
146458917;2015-02-24 06:52:40;29;276
146458917;2015-02-24 06:52:45;27;278
146458917;2015-02-24 06:52:50;21;278
146458917;2015-02-24 06:52:55;14;282
146458917;2015-02-24 06:53:01;12;271
146458917;2015-02-24 06:53:07;11;272
146458917;2015-02-24 06:53:12;18;275
146458917;2015-02-24 06:53:18;19;273
146458917;2015-02-24 06:53:24;20;276
146458917;2015-02-24 06:53:30;23;275
146458917;2015-02-24 06:53:36;23;276
146458917;2015-02-24 06:53:42;19;273
146458917;2015-02-24 06:53:48;20;277
146458917;2015-02-24 06:53:54;44;278
36913152;2015-02-24 06:54:00;36;280
36913152;2015-02-24 06:54:05;9;284
174444720;2015-02-24 06:54:22;25;265
23838516;2015-02-24 06:54:28;41;165
317682165;2015-02-24 06:54:33;44;150
317682165;2015-02-24 06:54:38;56;144
170776400;2015-02-24 06:54:44;56;146
170776400;2015-02-24 06:54:50;52;144
170776400;2015-02-24 06:54:55;53;148
170776400;2015-02-24 06:55:01;45;155
170776400;2015-02-24 06:55:06;33;163
170776400;2015-02-24 06:55:12;19;167
217159738;2015-02-24 06:55:18;26;237
182896158;2015-02-24 06:55:23;45;252
27275753;2015-02-24 06:55:28;51;228
27275753;2015-02-24 06:55:34;49;212
27275753;2015-02-24 06:55:40;52;212
27275753;2015-02-24 06:55:46;53;212
27275753;2015-02-24 06:55:52;54;212
27275753;2015-02-24 06:55:57;52;212
27275753;2015-02-24 06:56:03;31;270
27275753;2015-02-24 06:56:09;43;279
27275753;2015-02-24 06:56:14;49;236
27275753;2015-02-24 06:56:19;47;234
27275753;2015-02-24 06:56:24;51;235
27275753;2015-02-24 06:56:30;48;236
27275753;2015-02-24 06:56:36;53;223
27275753;2015-02-24 06:56:42;54;185
27275753;2015-02-24 06:56:48;37;171
27275753;2015-02-24 06:56:54;35;247
27275753;2015-02-24 06:56:59;42;253
27275753;2015-02-24 06:57:04;40;286
27275753;2015-02-24 06:57:10;34;218
27275753;2015-02-24 06:57:15;36;231
27275753;2015-02-24 06:57:20;36;250
27275753;2015-02-24 06:57:25;17;235
27275752;2015-02-24 06:57:31;11;202
25979356;2015-02-24 06:57:37;39;171
25979356;2015-02-24 06:57:42;38;179
25979356;2015-02-24 06:57:47;2;203
25979356;2015-02-24 06:57:58;7;207
37725023;2015-02-24 06:58:04;29;323
26783142;2015-02-24 06:58:10;46;305
26783141;2015-02-24 06:58:15;49;301
182860702;2015-02-24 06:58:20;55;299
287748875;2015-02-24 06:58:25;53;297
287748875;2015-02-24 06:58:30;54;299
287748875;2015-02-24 06:58:36;58;299
287748875;2015-02-24 06:58:42;54;300
37392321;2015-02-24 06:58:48;55;313
37392321;2015-02-24 06:58:54;54;316
290953555;2015-02-24 06:59:00;56;308
290953555;2015-02-24 06:59:06;53;292
290953555;2015-02-24 06:59:11;51;282
290953555;2015-02-24 06:59:16;50;281
